typ;a;b;c;d;prunusc;prunusb;richness;shannon;L;M;SR;N
ol;80;5;45;0;0;0;7;1.07;5.21;8.71;5.71;5.78
ol;90;30;70;10;7;2;29;2.34;5.44;8.09;6.36;5.35
ol;95;45;95;10;0;0;24;2.15;5.67;8.56;6.36;5.16
ol;60;30;60;50;0;0;22;2.25;5.79;8.35;6.55;5.24
ol;85;25;70;15;8;9;33;2.52;5.49;8.14;6.31;5.71
ol;75;40;80;25;20;23;31;2.61;5.48;7.68;6.35;5.62
ol;95;30;80;0;0;7;25;2.22;5.79;8.42;6.33;5.03
ol;65;15;70;0;0;0;13;1.5;6.09;10.07;5.57;4.4
ol;80;20;90;50;0;0;26;2.37;5.31;8.3;5.95;5.58
ol;70;30;80;40;0;2;32;2.59;5.51;8.13;6.34;5.39
os;90;25;95;0;2;21;13;1.58;5.92;8.67;6.49;4.98
os;95;60;35;0;0;4;15;1.61;5.33;8.26;6.31;6.08
os;85;30;80;0;10;22;22;1.99;5.57;7.94;6.39;5.12
os;95;25;95;5;0;17;27;2.25;5.87;8.05;6.4;4.17
os;80;35;70;10;0;2;25;2.16;5.38;8.12;6.4;5.54
os;90;5;90;0;0;0;15;1.46;5.76;8.68;5.97;4.53
os;95;5;90;0;0;0;7;1.14;5.77;8.79;5.93;4.4
os;65;5;35;0;0;0;16;1.62;5.57;8.76;6.24;7.07
os;60;35;80;10;0;0;14;1.9;5.61;8.29;6.37;5.32
os;85;10;95;0;0;0;11;1.38;5.64;8.57;6.02;4.58
oj;80;55;40;0;2;1;12;1.37;5.11;8.12;6.37;6.37
oj;80;50;40;3;0;0;15;1.73;5.26;7.44;6.2;7.81
oj;80;30;70;30;0;0;25;2.19;4.84;7.46;6.1;6.23
oj;85;40;70;30;0;4;31;2.39;5.05;7.72;6.2;5.96
oj;80;30;80;10;5;4;30;2.35;5.29;7.25;6.17;5.98
oj;80;45;45;0;0;0;17;1.72;4.93;7.83;6.47;6.2
oj;90;35;35;0;2;1;15;1.47;5.03;8.18;6.41;6.01
oj;80;45;45;0;16;2;13;1.51;5.21;7.92;6.38;6.27
oj;80;30;60;0;1;4;24;2.07;5.41;7.91;6.66;6.41
oj;80;25;60;0;1;0;15;1.58;5.01;8.18;6.32;5.72
op;80;40;40;1;0;0;11;1.7;4.31;7.2;6.71;6.63
op;70;40;50;0;0;0;11;1.79;4.43;5.41;7;6.89
op;40;60;75;55;0;0;8;1.68;5.52;5.22;6.94;8.51
op;50;55;45;70;0;0;12;1.8;5.16;5.57;6.9;7.78
op;75;50;50;50;0;0;9;1.54;6.37;5.29;7;8.6
op;65;40;80;45;0;0;11;1.99;5.05;5.54;7.02;7.87
op;45;50;35;15;0;0;14;2.01;5.22;5.64;6.84;7.53
op;60;20;80;30;0;0;13;1.77;4.42;5.84;6.93;8.17
op;30;35;40;70;0;0;14;1.73;6.15;5.44;7.02;8.62
op;70;45;50;60;0;0;11;1.79;4.96;5.49;6.91;8.01
